row_type,model,display_name,threshold,metric,value,fpr,tpr,precision,recall,tn,fp,fn,tp,accuracy,f1,ms_per_frame
roc_point,original,SIRCH original (epoch 4),0.12043803185224533,roc_point_98,,0.3433333333333333,0.9765886287625418,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.0787721499800682,roc_point_99,,0.37,0.9765886287625418,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.0666607990860939,roc_point_100,,0.37,0.979933110367893,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.0626375749707222,roc_point_101,,0.37666666666666665,0.979933110367893,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.061585333198308945,roc_point_102,,0.37666666666666665,0.9832775919732442,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.046419769525527954,roc_point_103,,0.4166666666666667,0.9832775919732442,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.04445740208029747,roc_point_104,,0.4166666666666667,0.9866220735785953,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.04335220903158188,roc_point_105,,0.42,0.9866220735785953,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.043327417224645615,roc_point_106,,0.42,0.9899665551839465,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.030228089541196823,roc_point_107,,0.45666666666666667,0.9899665551839465,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.029885614290833473,roc_point_108,,0.45666666666666667,0.9933110367892977,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.028440428897738457,roc_point_109,,0.46,0.9933110367892977,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.026033952832221985,roc_point_110,,0.4666666666666667,0.9933110367892977,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.021520433947443962,roc_point_111,,0.48333333333333334,0.9933110367892977,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.02075893245637417,roc_point_112,,0.48333333333333334,0.9966555183946488,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.007166597526520491,roc_point_113,,0.62,0.9966555183946488,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.00695472676306963,roc_point_114,,0.62,1.0,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.0003006845945492387,roc_point_115,,1.0,1.0,,,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0003006845945492387,pr_point_0,,,,0.4991652754590985,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0003147390962112695,pr_point_1,,,,0.5,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.00034665377461351454,pr_point_2,,,,0.5008375209380235,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0003585766244214028,pr_point_3,,,,0.5016778523489933,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.000389840395655483,pr_point_4,,,,0.5025210084033613,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0004070836876053363,pr_point_5,,,,0.5033670033670034,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.000414503738284111,pr_point_6,,,,0.5042158516020236,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0004275156825315207,pr_point_7,,,,0.5050675675675675,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.00047580988029949367,pr_point_8,,,,0.505922165820643,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0004856814630329609,pr_point_9,,,,0.5067796610169492,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005030264728702605,pr_point_10,,,,0.5076400679117148,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005115930689498782,pr_point_11,,,,0.5085034013605442,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005274862633086741,pr_point_12,,,,0.5093696763202725,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005296515882946551,pr_point_13,,,,0.5102389078498294,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005304458318278193,pr_point_14,,,,0.5111111111111111,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005395778571255505,pr_point_15,,,,0.511986301369863,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005524447187781334,pr_point_16,,,,0.5128644939965694,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005591105436906219,pr_point_17,,,,0.5137457044673539,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005768824485130608,pr_point_18,,,,0.5146299483648882,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005903623532503843,pr_point_19,,,,0.5155172413793103,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0005968448240309954,pr_point_20,,,,0.5164075993091537,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0006226407713256776,pr_point_21,,,,0.5173010380622838,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0006243795505724847,pr_point_22,,,,0.5181975736568457,1.0,,,,,,,
precision_recall_point,original,SIRCH original (epoch 4),0.0006757636438123882,pr_point_23,,,,0.5190972222222222,1.0,,,,,,,
