k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
5,0.35,594,227,71,15,281,0.8552188552188552,0.8555346453836387,0.7982954545454546,0.9493243243243243,0.8672839506172839,0.23825503355704697,0.05067567567567568,0
5,0.4,594,229,69,15,281,0.8585858585858586,0.8588903500816252,0.8028571428571428,0.9493243243243243,0.8699690402476781,0.23154362416107382,0.05067567567567568,0
5,0.45,594,238,60,15,281,0.8737373737373737,0.8739910212225648,0.8240469208211144,0.9493243243243243,0.8822605965463108,0.20134228187919462,0.05067567567567568,0
5,0.5,594,242,56,18,278,0.8754208754208754,0.8756348630509705,0.8323353293413174,0.9391891891891891,0.8825396825396825,0.18791946308724833,0.060810810810810814,0
5,0.55,594,247,51,20,276,0.8804713804713805,0.8806457464175586,0.8440366972477065,0.9324324324324325,0.8860353130016051,0.17114093959731544,0.06756756756756757,0
5,0.6,594,253,45,22,274,0.8872053872053872,0.8873344821331399,0.8589341692789969,0.9256756756756757,0.8910569105691057,0.15100671140939598,0.07432432432432433,0
5,0.65,594,256,42,25,271,0.8872053872053872,0.8873004716125521,0.865814696485623,0.9155405405405406,0.8899835796387521,0.14093959731543623,0.08445945945945946,0
5,0.7,594,258,40,32,264,0.8787878787878788,0.8788318519862144,0.868421052631579,0.8918918918918919,0.88,0.1342281879194631,0.10810810810810811,0
5,0.75,594,263,35,36,260,0.8804713804713805,0.8804643569744242,0.8813559322033898,0.8783783783783784,0.8798646362098139,0.1174496644295302,0.12162162162162163,0
5,0.8,594,267,31,39,257,0.8821548821548821,0.8821081988028296,0.8923611111111112,0.8682432432432432,0.8801369863013698,0.1040268456375839,0.13175675675675674,0
5,0.85,594,272,26,52,244,0.8686868686868687,0.8685380010883367,0.9037037037037037,0.8243243243243243,0.8621908127208481,0.087248322147651,0.17567567567567569,0
