k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
10,0.3,594,196,102,9,287,0.8131313131313131,0.8136563576999819,0.7377892030848329,0.9695945945945946,0.8379562043795621,0.3422818791946309,0.030405405405405407,0
10,0.35,594,201,97,11,285,0.8181818181818182,0.8186672410665699,0.7460732984293194,0.9628378378378378,0.8407079646017699,0.32550335570469796,0.037162162162162164,0
10,0.4,594,205,93,15,281,0.8181818181818182,0.8186218937057863,0.7513368983957219,0.9493243243243243,0.8388059701492537,0.31208053691275167,0.05067567567567568,0
10,0.45,594,216,82,15,281,0.8367003367003367,0.8370782695447125,0.7741046831955923,0.9493243243243243,0.8528072837632777,0.2751677852348993,0.05067567567567568,0
10,0.5,594,225,73,21,275,0.8417508417508418,0.8420438055505169,0.7902298850574713,0.9290540540540541,0.8540372670807453,0.24496644295302014,0.07094594594594594,0
10,0.55,594,233,65,22,274,0.8535353535353535,0.8537774351532741,0.8082595870206489,0.9256756756756757,0.862992125984252,0.2181208053691275,0.07432432432432433,0
10,0.6,594,244,54,31,265,0.8569023569023569,0.8570311082894976,0.8307210031347962,0.8952702702702703,0.8617886178861789,0.18120805369127516,0.10472972972972973,0
10,0.65,594,247,51,38,258,0.8501683501683501,0.8502403410121531,0.8349514563106796,0.8716216216216216,0.8528925619834711,0.17114093959731544,0.12837837837837837,0
10,0.7,594,253,45,42,254,0.8535353535353535,0.8535506983493562,0.8494983277591973,0.8581081081081081,0.853781512605042,0.15100671140939598,0.14189189189189189,0
10,0.75,594,264,34,50,246,0.8585858585858586,0.8584935606747688,0.8785714285714286,0.831081081081081,0.8541666666666666,0.11409395973154363,0.16891891891891891,0
10,0.8,594,274,24,60,236,0.8585858585858586,0.8583801922728097,0.9076923076923077,0.7972972972972973,0.8489208633093526,0.08053691275167785,0.20270270270270271,0
10,0.85,594,280,18,71,225,0.8501683501683501,0.8498662252856883,0.9259259259259259,0.7601351351351351,0.8348794063079777,0.06040268456375839,0.23986486486486486,0
10,0.9,594,285,13,84,212,0.8367003367003367,0.8362960275711954,0.9422222222222222,0.7162162162162162,0.8138195777351248,0.0436241610738255,0.28378378378378377,0
