k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
3,0.5,594,208,90,17,279,0.8198653198653199,0.8202770723743877,0.7560975609756098,0.9425675675675675,0.8390977443609022,0.30201342281879195,0.057432432432432436,0
3,0.55,594,212,86,18,278,0.8249158249158249,0.8252992925811717,0.7637362637362637,0.9391891891891891,0.8424242424242424,0.28859060402684567,0.060810810810810814,0
3,0.6,594,220,78,20,276,0.835016835016835,0.8353437329947397,0.7796610169491526,0.9324324324324325,0.8492307692307692,0.26174496644295303,0.06756756756756757,0
3,0.65,594,228,70,25,271,0.8400673400673401,0.8403206058407401,0.7947214076246334,0.9155405405405406,0.8508634222919937,0.2348993288590604,0.08445945945945946,0
3,0.7,594,232,66,35,261,0.82996632996633,0.8301401233448213,0.7981651376146789,0.8817567567567568,0.8378812199036918,0.2214765100671141,0.11824324324324324,0
3,0.75,594,241,57,39,257,0.8383838383838383,0.8384840377290042,0.8184713375796179,0.8682432432432432,0.8426229508196721,0.1912751677852349,0.13175675675675674,0
3,0.8,594,257,41,50,246,0.8468013468013468,0.8467485942318157,0.8571428571428571,0.831081081081081,0.8439108061749572,0.13758389261744966,0.16891891891891891,0
3,0.85,594,271,27,58,238,0.8569023569023569,0.8567250136042082,0.8981132075471698,0.8040540540540541,0.8484848484848485,0.09060402684563758,0.19594594594594594,0
3,0.9,594,276,22,72,224,0.8417508417508418,0.841465626700526,0.9105691056910569,0.7567567567567568,0.8265682656826568,0.0738255033557047,0.24324324324324326,0
5,0.3,594,181,117,10,286,0.7861952861952862,0.7867993832758933,0.7096774193548387,0.9662162162162162,0.8183118741058655,0.3926174496644295,0.033783783783783786,0
5,0.35,594,189,109,12,284,0.7962962962962963,0.7968438236894613,0.72264631043257,0.9594594594594594,0.8243831640058055,0.36577181208053694,0.04054054054054054,0
5,0.4,594,198,100,13,283,0.8097643097643098,0.8102553056412116,0.7389033942558747,0.956081081081081,0.833578792341679,0.33557046979865773,0.04391891891891892,0
5,0.45,594,206,92,15,281,0.8198653198653199,0.8202997460547796,0.7533512064343163,0.9493243243243243,0.8400597907324364,0.3087248322147651,0.05067567567567568,0
5,0.5,594,211,87,19,277,0.8215488215488216,0.8219322510429894,0.760989010989011,0.9358108108108109,0.8393939393939394,0.29194630872483224,0.06418918918918919,0
5,0.55,594,213,85,20,276,0.8232323232323232,0.8235987665517868,0.7645429362880887,0.9324324324324325,0.8401826484018264,0.28523489932885904,0.06756756756756757,0
5,0.6,594,224,74,22,274,0.8383838383838383,0.8386767640123345,0.7873563218390804,0.9256756756756757,0.8509316770186336,0.2483221476510067,0.07432432432432433,0
